mode,num_envs,num_motions,terminated_prob,time_step_total,bin_count,avg_resample_env_ids,iters,warmup,frames_per_motion,length_jitter,bin_size,alpha,use_bincount,adaptive_kernel_size,adaptive_lambda,adaptive_uniform_ratio,adaptive_alpha,total_ms,get_env_ids_ms,post_update_ms,resample_ms,dist_ms,adaptive_ms
cmd2,131040,50,0.05,148994,2980,6589.66,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.4507971531711519,0.12727554072625935,0.02667153486981988,0.0,0.0,0.29685007757507265
cmd3,131040,50,0.05,148994,2980,6595.165,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.330917879473418,0.1408033666666597,0.0,0.10637511732056737,0.08373939548619092,0.0
cmd1,131040,50,0.2,148994,2980,26248.87,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.4795294185169041,0.14364137896336615,0.17772966180928051,0.15815837774425745,0.0,0.0
cmd2,131040,50,0.2,148994,2980,26246.98,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.447570129763335,0.12768105487339199,0.024928002385422587,0.0,0.0,0.2949610725045204
cmd3,131040,50,0.2,148994,2980,26246.29,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.31003808486275375,0.12499788659624755,0.0,0.1062612549867481,0.0787789432797581,0.0
cmd1,131040,50,0.6,148994,2980,78635.25,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.42563904309645295,0.13188624288886786,0.17793065635487437,0.11582214385271072,0.0,0.0
cmd2,131040,50,0.6,148994,2980,78633.53,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.49725220655091107,0.1366383908316493,0.031750036869198084,0.0,0.0,0.3288637788500637
cmd3,131040,50,0.6,148994,2980,78625.05,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.3240714513231069,0.13872474897652864,0.0,0.0977284973487258,0.08761820499785244,0.0
cmd1,131040,50,0.98,148994,2980,128421.44,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.47218587016686797,0.13336273725144565,0.20054188440553844,0.13828124850988388,0.0,0.0
cmd2,131040,50,0.98,148994,2980,128421.325,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.4836489667650312,0.12796829803846776,0.02461231197230518,0.0,0.0,0.3310683567542583
cmd3,131040,50,0.98,148994,2980,128420.55,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.29332852573134005,0.12287697289139032,0.0,0.0996622268576175,0.07078932598233223,0.0
cmd1,131040,800,0.05,2399811,47997,6591.65,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.42958555626682937,0.1308983366470784,0.15340321115218103,0.14528400846756995,0.0,0.0
cmd2,131040,800,0.05,2399811,47997,6590.44,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.45766929048113525,0.12269910657778382,0.026233477983623743,0.0,0.0,0.3087367059197277
